가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수수량,가로수길길이,제공기관명
비슬로,35.809497,128.512584,35.808497,128.508288,64,0.41,대구광역시 달성군
비슬로,35.808497,128.508288,35.792054,128.47607,535,3.4,대구광역시 달성군
비슬로,35.792054,128.47607,35.789497,128.465483,308,2,대구광역시 달성군
비슬로,35.78396,128.447723,35.780471,128.434824,219,1.3,대구광역시 달성군
비슬로,35.646515,128.434883,35.75378,128.400189,352,4.1,대구광역시 달성군
비슬로,35.75378,128.400189,35.734577,128.459277,456,4.7,대구광역시 달성군
비슬로,35.705508,128.437909,35.701791,128.439749,52,0.408,대구광역시 달성군
비슬로,35.701791,128.439749,35.707008,128.436687,268,1.6,대구광역시 달성군
비슬로,35.690397,128.446524,35.695179,128.437729,181,1.8,대구광역시 달성군
비슬로36길,35.659015,128.45286,35.664699,128.449015,156,1.4,대구광역시 달성군
비슬로63길,35.664699,128.449015,35.65532,128.452048,227,1.5,대구광역시 달성군
하빈로84길,35.900736,128.445124,35.90093,128.445486,424,1.3,대구광역시 달성군
가곡길,35.913662,128.449729,35.916536,128.446549,406,2.4,대구광역시 달성군
"하빈로107길,가곡1길",35.910762,128.446653,35.914396,128.448592,800,3.8,대구광역시 달성군
대평리,35.927391,128.463603,35.933265,128.466078,210,0.7,대구광역시 달성군
하빈로,35.88766,128.421367,35.906544,128.44768,220,1.2,대구광역시 달성군
하빈로,35.906544,128.44768,35.90093,128.445486,45,0.629,대구광역시 달성군
하빈로,35.90093,128.445486,35.891513,128.423655,225,1.87,대구광역시 달성군
하빈로,35.891513,128.423655,35.868048,128.415272,169,1.95,대구광역시 달성군
강변도로,35.879577,128.411221,35.888036,128.417667,181,3,대구광역시 달성군
묘동길,35.888036,128.417667,35.891513,128.423655,301,2.4,대구광역시 달성군
하산길,35.886778,128.410581,35.881139,128.408079,74,0.4,대구광역시 달성군
하빈남로,35.861752,128.392058,35.878144,128.417271,94,1.4,대구광역시 달성군
하빈남로,35.878144,128.417271,35.878904,128.417434,245,2.66,대구광역시 달성군
달구벌대로,35.881431,128.389048,35.878848,128.409824,,0.96,대구광역시 달성군
달구벌대로,35.878848,128.409824,35.877987,128.416934,,0.463,대구광역시 달성군
달구벌대로,35.878904,128.417434,35.879004,128.418235,,0.4,대구광역시 달성군
달구벌대로,35.879004,128.418235,35.865211,128.426711,,0.573,대구광역시 달성군
달구벌대로,35.865211,128.426711,35.869402,128.424388,,0.357,대구광역시 달성군
달구벌대로,35.865211,128.426711,35.870402,128.424587,,2.2,대구광역시 달성군
"달서대로,서재로",35.865796,128.492816,35.876261,128.499051,19,0.304,대구광역시 달성군
서재로,35.867206,128.492055,35.879211,128.497538,276,1.6,대구광역시 달성군
서재로,35.88596,128.501065,35.88079,128.511897,113,0.5,대구광역시 달성군
서재로,35.88079,128.511897,35.888556,128.506539,114,1.9,대구광역시 달성군
"서재로,달서대로,세천로",35.871927,128.495056,35.874654,128.471323,245,0.95,대구광역시 달성군
세천로,35.874654,128.471323,35.874654,128.471323,230,1.3,대구광역시 달성군
세천북로,35.874654,128.471323,35.874654,128.471323,80,0.466,대구광역시 달성군
달구벌대로,35.856492,128.467443,35.859158,128.465114,309,0.962,대구광역시 달성군
문양역길,35.862991,128.438599,35.87421,128.437669,233,0.864,대구광역시 달성군
문양역길,35.87421,128.437669,35.861768,128.438807,65,0.29,대구광역시 달성군
달구벌대로109길,35.861768,128.438807,35.860795,128.441512,19,0.365,대구광역시 달성군
달구벌대로109길,35.860795,128.441512,35.855752,128.437105,113,0.658,대구광역시 달성군
달구벌대로109길,35.855752,128.437105,35.853435,128.439988,52,0.293,대구광역시 달성군
달구벌대로109길,35.855752,128.437105,35.85938,128.446629,9,0.131,대구광역시 달성군
달구벌대로77길,35.85938,128.446629,35.869402,128.424388,303,1.7,대구광역시 달성군
달구벌대로77길,35.865211,128.426711,35.868664,128.425855,112,0.324,대구광역시 달성군
문양역5길,35.871629,128.445678,35.864065,128.437177,99,1.65,대구광역시 달성군
매곡로7길,35.860605,128.442909,35.863851,128.453764,175,1.1,대구광역시 달성군
"매곡로,다사로",35.868822,128.458542,35.863851,128.453764,111,0.671,대구광역시 달성군
다사역로,35.868378,128.456958,35.864954,128.458297,81,0.402,대구광역시 달성군
다사역로,35.864954,128.458297,35.862518,128.459097,33,0.308,대구광역시 달성군
매곡로2길,35.863851,128.453764,35.875809,128.475857,182,0.95,대구광역시 달성군
대실역남로,35.857348,128.465617,35.850808,128.465932,327,1.15,대구광역시 달성군
대실역남로4길,35.850034,128.464215,35.843567,128.457863,210,1.1,대구광역시 달성군
대실역남로3길,35.850034,128.464215,35.856546,128.468235,50,0.404,대구광역시 달성군
대실역남로1길,35.850124,128.464316,35.852206,128.464185,155,0.343,대구광역시 달성군
달구벌대로174길,35.854352,128.463069,35.857673,128.460472,100,0.703,대구광역시 달성군
달구벌대로174길,35.858464,128.460855,35.858018,128.463208,5,0.066,대구광역시 달성군
달구벌대로92길,35.853051,128.431841,35.855155,128.433478,20,0.319,대구광역시 달성군
달구벌대로92길,35.855155,128.433478,35.855431,128.433049,86,0.317,대구광역시 달성군
"세천로7길,세천로8길",35.871263,128.472224,35.872624,128.472325,273,1.4,대구광역시 달성군
"세천로1길~2길,세천남로",35.879732,128.470007,35.873654,128.473322,800,3.7,대구광역시 달성군
"세천로4길,3길",35.874654,128.471323,35.874654,128.471323,233,1.1,대구광역시 달성군
세천3로,35.879732,128.470007,35.874654,128.471323,197,0.626,대구광역시 달성군
"세천로6길,7길",35.874654,128.471323,35.875624,128.472322,223,1.06,대구광역시 달성군
"세천북로18길,세천로21길",35.87866,128.472642,35.875447,128.473397,200,0.874,대구광역시 달성군
세천6길,35.874654,128.471323,35.877653,128.473322,47,0.47,대구광역시 달성군
대실역북로1~2길,35.861131,128.46692,35.863101,128.465263,394,1.57,대구광역시 달성군
