상권명,시도명,시군구명,상권좌표수,좌표(경위도)_wgs84
홍대입구역_2,서울특별시,마포구,19,"126.922648349739,37.5576530594729|126.922403010399,37.5573985324214|126.921763794828,37.5569872363594|126.921398517841,37.5564162495897|126.921241643176,37.5563066934808|126.920768037236,37.556185235646|126.920552634732,37.5562103001304|126.919005932248,37.5575116832835|126.919027265731,37.557601982224|126.919351941106,37.5578482311059|126.919867688163,37.557402425349|126.921078730227,37.5581883778416|126.921491451889,37.5578227181087|126.921714804224,37.5580319945371|126.922320165196,37.5576500680897|126.923089104213,37.5584860312236|126.923248964242,37.5583883731543|126.922960037051,37.5580163151868|126.922648349739,37.5576530594729"
홍대입구역_3,서울특별시,마포구,21,"126.925311211591,37.5582269313782|126.922634220889,37.556274341082|126.922335845244,37.5565599539311|126.921148615941,37.5556931380174|126.920816028214,37.5559964555814|126.921345437204,37.5561724847458|126.921536261241,37.5562823504385|126.921868496394,37.5567899627318|126.921957473436,37.556898898849|126.922507322197,37.5572282858481|126.922775165185,37.5574920281435|126.923431328014,37.5582999301958|126.923577540451,37.5583643343768|126.923769796983,37.5583750952467|126.924319342816,37.5579385880219|126.924786242488,37.5585285109307|126.924887318421,37.5585834925594|126.924954185347,37.5586561837848|126.925190159368,37.5587754645786|126.925523646754,37.5584090702421|126.925311211591,37.5582269313782"
홍익대학교,서울특별시,마포구,46,"126.926047368483,37.5574046655371|126.926087517032,37.5569725314517|126.926842891685,37.5571776197703|126.926659372986,37.5573471511041|126.926726756819,37.5573838044685|126.928094426268,37.556720434054|126.928029362511,37.5565216154052|126.927350531671,37.5557135327847|126.92792099406,37.5553943332765|126.927933341682,37.5553223620834|126.927086713719,37.5543776001185|126.927007758129,37.5543588627228|126.926482952275,37.5546514413162|126.926507133683,37.5545435361463|126.926488373396,37.5542730538961|126.926472452838,37.5538043686805|126.926404943233,37.5537767244258|126.925917703697,37.5538173505866|126.925901786742,37.553348665315|126.925629813552,37.5533732251462|126.925426124245,37.5533713738552|126.925200836605,37.5532972426754|126.924998181516,37.5532233168737|126.925136429481,37.5530533763704|126.92426270394,37.5524237117375|126.924052228889,37.5521064324231|126.924078741221,37.551836361767|126.924173277443,37.5515578997381|126.924193258737,37.5509543848101|126.924106809204,37.5498813604293|126.924181427584,37.5494134985821|126.924151102456,37.5491609313597|126.924097758719,37.5489351858491|126.922928259394,37.5492038594297|126.922878623771,37.5479329404824|126.922743876842,37.547859629529|126.921860900362,37.5478786118227|126.918452418995,37.5480276873017|126.917760368242,37.5481474997805|126.914298124949,37.5488816387213|126.913957489415,37.5489596035396|126.913908180519,37.5492384727896|126.915095484445,37.5500873411552|126.918341752377,37.5525589041797|126.925038374138,37.5575216402501|126.926047368483,37.5574046655371"
서대문역_1,서울특별시,종로구,12,"126.967096112898,37.5666006526983|126.966884173276,37.566373540418|126.966249981726,37.5663950274273|126.96415929674,37.5686022962752|126.964496485586,37.568776448171|126.965057692563,37.5683038115261|126.965782948274,37.5674271392125|126.966194885404,37.5671063678344|126.966479707618,37.5669737022564|126.966684182396,37.5669214273475|126.966866890249,37.5668058889899|126.967096112898,37.5666006526983"
서대문역_2,서울특별시,서대문구,29,"126.965843273243,37.5663374076648|126.966244880595,37.5659444623746|126.967023334451,37.5653115281616|126.967415475002,37.5647833398511|126.967259259515,37.5646197878141|126.96589041281,37.5645627693388|126.965537691279,37.5646948394457|126.965359839846,37.5644590122999|126.965190942655,37.5643944610731|126.964850659153,37.5644455443126|126.9648081145,37.5650668900443|126.964444070732,37.5651988576964|126.964521179503,37.5653527101015|126.964530629373,37.5654879490075|126.964870668825,37.5654548854108|126.965232721781,37.5654670655737|126.965830712507,37.5656074546609|126.965679969809,37.5658674376777|126.96551853004,37.5660822748322|126.965483953457,37.5661270242882|126.965439054182,37.5660996001258|126.965232464976,37.5663050313211|126.96460200991,37.566056229954|126.964598896439,37.5662814628753|126.964492922694,37.5665778780573|126.964261201437,37.5669632954855|126.96415696969,37.5671335799|126.965004223522,37.5672581363406|126.965843273243,37.5663374076648"
신촌역_2,서울특별시,서대문구,38,"126.938956730473,37.5593323282039|126.940314901122,37.5593355002888|126.940316940028,37.559191352169|126.939525132252,37.5591572205569|126.939344825563,37.5591015405469|126.939612512204,37.558581338794|126.939276576352,37.5583260337961|126.938839812134,37.5579977396077|126.939172464676,37.5576853611278|126.939240747989,37.5576589426487|126.939369823833,37.5573357263126|126.939487709378,37.5570033990227|126.93969638182,37.5566538650903|126.939917388577,37.5562323581293|126.938836103068,37.5558622410084|126.938362852607,37.5557138255838|126.937765889446,37.555510234318|126.937360286385,37.5553804435109|126.937089203531,37.5553419648977|126.936738011219,37.5553658380072|126.936420000664,37.5554440710163|126.93527102489,37.5558572173009|126.932881989859,37.5567186954275|126.93291119214,37.5570523437411|126.933040705423,37.5574950221926|126.934587723351,37.5569503299546|126.935006486588,37.5577470183271|126.933470900059,37.5582828086353|126.933614300248,37.5585454037756|126.933759368269,37.5586908786372|126.934006161032,37.5588462810555|126.934614584983,37.5590409842216|126.93462487702,37.5591131601419|126.936297615292,37.559281400103|126.9368063692,37.5593220183887|126.938266392151,37.5593261300348|126.938956602877,37.5593413374573|126.938956730473,37.5593323282039"
이대역,서울특별시,서대문구,21,"126.945669763923,37.5592482238809|126.945638221837,37.5590767448889|126.945920386547,37.5591333235761|126.946485984179,37.5591563861901|126.94649117835,37.5587870058791|126.946106274723,37.5587925855298|126.946120379758,37.5585944823638|126.946550296764,37.5586073246004|126.94662271493,37.5574816691122|126.946589651292,37.5574183016459|126.94577535165,37.5573750012274|126.94580419647,37.5569337485045|126.943180505971,37.5567841773861|126.942985962187,37.5569356149864|126.942907642811,37.5584756937856|126.942911078506,37.5590343694625|126.943262032386,37.5590284967686|126.943442214905,37.5590931801048|126.943422639156,37.5596786812714|126.945550126672,37.559706687392|126.945669763923,37.5592482238809"
숙대입구역,서울특별시,용산구,12,"126.97354506797,37.5445272096117|126.97436462463,37.5416960301066|126.973799763705,37.5416280559135|126.974028547486,37.5406208706775|126.973373797363,37.5405070622302|126.973172076359,37.5411901049539|126.972132880681,37.5410549294845|126.97179277818,37.5419259861057|126.971340568659,37.541895021503|126.971300632099,37.5431561367487|126.971297852859,37.5441833034232|126.97354506797,37.5445272096117"
신용산역,서울특별시,용산구,11,"126.971537705886,37.53082288455|126.971303472903,37.5305775645767|126.970904558226,37.5307903448349|126.970324331281,37.5301996137153|126.971264894868,37.5300906638134|126.969645270086,37.5293917674432|126.969091367449,37.5301798608501|126.970675147421,37.5318425724377|126.971450855533,37.5313807779864|126.971149609023,37.5310718015674|126.971537705886,37.53082288455"
"용산,전자상가_1",서울특별시,용산구,31,"126.960157235116,37.5331561806267|126.961550873133,37.5330152500412|126.962026024551,37.5330194218554|126.962895391404,37.5331531962976|126.963272835642,37.5328591610592|126.964069109351,37.5325507736133|126.964421431765,37.5324367236988|126.964775245513,37.5322145602812|126.967259450817,37.5301098134216|126.966835773265,37.529655589352|126.966373817519,37.5295163954143|126.966249999618,37.5294702607586|126.965758456566,37.5290154395449|126.965479246823,37.5287516937907|126.96497702233,37.5282517235606|126.964189497993,37.5287494140194|126.963170107389,37.5296505371091|126.96113744854,37.5318222385287|126.960376983418,37.5319957642113|126.959382442408,37.5319149325398|126.957474937456,37.5315827647226|126.954662788849,37.5304046003118|126.954891190824,37.5310643822696|126.955001180519,37.5312906156469|126.955112175059,37.5314447741788|126.955290921895,37.5316085416608|126.955593986147,37.5317824174029|126.956876516505,37.5323073339767|126.957596666765,37.5325930086273|126.959569576676,37.5331059591507|126.960157235116,37.5331561806267"
"용산,전자상가_2",서울특별시,용산구,16,"126.967095553325,37.5329737085383|126.966982794223,37.5329456921556|126.966858225605,37.5329536143213|126.965760223807,37.5321691165147|126.965557086628,37.5321312978135|126.965319886356,37.5321021911762|126.965045141642,37.5323340587664|126.96448582683,37.5326895804412|126.964473145298,37.5327885844176|126.964202128564,37.5327501689277|126.964081281574,37.5333077586154|126.966712537033,37.533673177997|126.967525230245,37.5338154336404|126.968292797443,37.5339482795327|126.967948656895,37.5334677221234|126.967095553325,37.5329737085383"
"용산,전자상가_3",서울특별시,용산구,19,"126.962744332761,37.5334402058922|126.962688763753,37.533367634793|126.961954778642,37.5332620787215|126.96155869309,37.5332676114432|126.960210552946,37.533390921268|126.95958907811,37.5333313920621|126.957716978176,37.5328914140892|126.956794192329,37.5325318690261|126.955669412821,37.5320533971318|126.954181630482,37.5316437882431|126.954107470797,37.5320936548748|126.954831249347,37.5321180753434|126.955528261765,37.532439599851|126.957482575271,37.5334750270703|126.959259430802,37.534256567703|126.961543432066,37.5351867038947|126.96166825434,37.5351607686905|126.962594145378,37.5336641497349|126.962744332761,37.5334402058922"
"용산,전자상가_4",서울특별시,용산구,15,"126.961251984261,37.5358058650835|126.961483495865,37.5354294596911|126.958996848429,37.5344254548615|126.957625388782,37.5337826414263|126.958789830889,37.5346669143151|126.960016490894,37.5351462527382|126.960081872695,37.5353270367696|126.959681776471,37.5356208622412|126.95974828272,37.5357205622899|126.959959490978,37.5359927336785|126.960551668379,37.5357186168659|126.96066442908,37.5357466394035|126.96049160361,37.5359703814343|126.961020470295,37.5361822699634|126.961251984261,37.5358058650835"
광화문역_2,서울특별시,종로구,58,"126.971444200177,37.5755678766722|126.971435850757,37.575351554446|126.971345170476,37.5753597757423|126.971301748806,37.5752242418757|126.971075234126,37.5752312807514|126.970976577314,37.5749961515579|126.970900188598,37.5747882473462|126.970746174048,37.5744625319878|126.971314620825,37.574287272316|126.97223507864,37.5740339774534|126.972711604509,37.5739570261565|126.972740691002,37.5751376414895|126.972839353572,37.5753727692876|126.972721213751,37.5757321586088|126.974228452472,37.5756191024669|126.974252449304,37.5755201963008|126.974405313429,37.5742780872678|126.974420457993,37.5739988961738|126.974634969277,37.5723878947137|126.974740541774,37.5721184982529|126.974780172622,37.5717043632768|126.976557752597,37.5716837252455|126.976584953908,37.5705216179745|126.976507322561,37.570403810515|126.976372358542,37.5703395690109|126.974889593156,37.5703267198078|126.972704815501,37.5703257740483|126.972308780875,37.5703133212402|126.97202630542,37.5702748234754|126.972009669007,37.5706621262887|126.970901093264,37.5714273752873|126.971281359171,37.5717640701847|126.970446772134,37.5723605011134|126.970737230299,37.5726423530705|126.971209292874,37.5728897434135|126.971761088039,37.5731017838648|126.971346665522,37.5736027607037|126.971073269256,37.5737265268386|126.970824244293,37.5737243589158|126.970597238733,37.5737674342324|126.970233038155,37.5739084283902|126.970084151933,37.5740332768419|126.970059654461,37.5741682193912|126.970193380707,37.5743225612966|126.970415928666,37.5746038223326|126.970606129918,37.5747676660651|126.970218294242,37.5749805374824|126.970295672382,37.5751163675498|126.970360864051,37.5753151642009|126.970413993187,37.5755679181316|126.97043452644,37.5757212737445|126.970420605324,37.5759103708378|126.970748998903,37.5759042203879|126.971145805502,37.5758626229287|126.971395332665,37.5758287529926|126.971610529505,37.575821615047|126.971568468266,37.5755869787347|126.971444200177,37.5755678766722"
동대문시장_1,서울특별시,종로구,15,"127.009273073277,37.5700161858307|127.00659205157,37.5698765510791|127.00396583818,37.5698724737455|127.002845392343,37.5698540175735|127.0023132868,37.5698585384467|127.002198778093,37.5699566867067|127.002121021865,37.5706948855246|127.002255049114,37.5708311732331|127.008252927303,37.5709717482508|127.008433673948,37.5710002957573|127.008819475043,37.570931447701|127.009069804868,37.5708344315795|127.009252696788,37.57070080802|127.009474311103,37.5702070912794|127.009273073277,37.5700161858307"
동대문역_1,서울특별시,종로구,44,"127.01540219767,37.5730858888218|127.012910235934,37.5723352620439|127.012233576293,37.5721403909012|127.011579083007,37.5719817429654|127.010924473587,37.5718321008731|127.010370905811,37.5717463740987|127.00979493932,37.5716424362525|127.009768369977,37.5719395579482|127.009686753021,37.5721190828776|127.009787792042,37.572183002288|127.009887282788,37.5723640442504|127.009918501039,37.5725715456313|127.010737773531,37.572254028959|127.011372245301,37.5722142846082|127.01136998558,37.5723854639232|127.011619009195,37.5723875462594|127.011628307112,37.572540801346|127.0120242442,37.5725621319295|127.012172345589,37.5724912861382|127.012286251265,37.5724381753136|127.012455208638,37.5725026599114|127.012634891685,37.5726122860171|127.012813506413,37.5728029968223|127.012756078423,37.5728655902624|127.012968414653,37.5730746033108|127.013216372258,37.5731577672803|127.013367678514,37.5728436650663|127.013514829819,37.572844893124|127.013605265807,37.5728546582035|127.013841904079,37.5729377264107|127.013863712326,37.5730009813677|127.013931035328,37.5730465951204|127.014043991737,37.573065558148|127.014111433515,37.5731021623559|127.013902227757,37.5735148973156|127.013968958113,37.5736055582628|127.014760845494,37.5736482025736|127.014894545729,37.5738115045994|127.014994762034,37.5739384857444|127.01511501095,37.5742638632127|127.015261572764,37.5743101363574|127.015569214283,37.5741595213325|127.015501821707,37.5732579167867|127.01540219767,37.5730858888218"
동대문역_2,서울특별시,종로구,26,"127.015583712606,37.5721953674733|127.015704175886,37.570781732016|127.015058754485,37.5707943772096|127.014187545366,37.5707600840472|127.012716429728,37.5707207758499|127.012478493001,37.570736809347|127.010995703285,37.5707244134913|127.010665310049,37.5708838367378|127.0105968008,37.570928315539|127.010552476877,37.5708558610914|127.01005276684,37.5701218323694|127.009951015768,37.5701119698231|127.009859154363,37.5702103152351|127.009742034192,37.5705066785373|127.01025544396,37.5710606145619|127.010512211196,37.5713330770397|127.010544978192,37.5714234556335|127.010554987997,37.5715226541771|127.010961524568,37.5715981396108|127.011559774049,37.5717292893909|127.012372614841,37.5718982708852|127.013477622763,37.5722318731572|127.015394550277,37.5728065016687|127.015496898019,37.57277131234|127.015554560532,37.5726906986352|127.015583712606,37.5721953674733"
안국역,서울특별시,종로구,18,"126.986817447297,37.5772864791486|126.986299902756,37.5770477713109|126.986186460049,37.5770648192047|126.986118052813,37.5771002740982|126.985978065806,37.5774054271233|126.985641244086,37.5780332655948|126.985464973593,37.5785093042574|126.985254740301,37.5789850510453|126.985502196885,37.579104310411|126.986134053119,37.5792629086567|126.986337450941,37.5792916843212|126.988046682007,37.5793153401946|126.988065064896,37.578792894049|126.988173402085,37.5774783020489|126.98765268466,37.5774738435611|126.987347411772,37.5774441974625|126.987087906391,37.5773789011453|126.986817447297,37.5772864791486"
인사동,서울특별시,종로구,15,"126.987435363178,37.5717774019141|126.987363205416,37.5704162108445|126.983321147969,37.5704716202872|126.98314072258,37.5712539744292|126.983137117244,37.5723532137812|126.983096064097,37.5728754644965|126.983050116316,37.5737580894452|126.983028337059,37.5753617548129|126.984041723394,37.5757669270015|126.98603396004,37.5766220011807|126.986586720034,37.5750949719151|126.987098186977,37.5741082104746|126.987544282398,37.5729316679896|126.987524932691,37.5726882210667|126.987435363178,37.5717774019141"
종각역,서울특별시,종로구,10,"126.982603779854,37.5691138860249|126.982547553727,37.5690863708505|126.979941442205,37.5692711508067|126.979942208154,37.5700460529952|126.982330474384,37.5700666375456|126.982523873224,37.5699962190217|126.982638040225,37.5699251183115|126.982696347403,37.5697994742905|126.982614364219,37.5691680396176|126.982603779854,37.5691138860249"
