학교명,학교급구분,소재지지번주소,위도,경도
아산테크노중학교,중학교,충청남도 아산시 둔포면 석곡리 1782,36.92648648,127.0517466
동항초등학교,초등학교,부산광역시 남구 감만동 312,35.11429749,129.0825604
별가람초등학교,초등학교,경기도 남양주시 별내동 920,37.65404379,127.1243411
부산기계공업고등학교,고등학교,부산광역시 해운대구 우동 471 부산기계공업고등학교,35.16210158,129.154384
광사초등학교,초등학교,경기도 양주시 광사동 660,37.79113573,127.0837993
강내초등학교,초등학교,충청북도 청주시 흥덕구 강내면 다락리 348-1,36.59702511,127.356827
유어초등학교,초등학교,경상남도 창녕군 유어면 부곡리 481,35.50887408,128.4109906
상명대학교사범대학부속초등학교,초등학교,서울특별시 종로구 홍지동 56,37.60075792,126.9563523
부산산업과학고등학교,고등학교,부산광역시 강서구 봉림동 15,35.18841821,128.9034374
브니엘고등학교,고등학교,부산광역시 금정구 구서동 50-1,35.25554187,129.1035399
부곡중학교,중학교,부산광역시 금정구 부곡동 산 56-3,35.23086573,129.0959307
성동중학교,중학교,부산광역시 남구 문현동 791,35.14088553,129.0657423
한별중학교,중학교,경기도 남양주시 별내동 1055,37.64861577,127.1190463
동국대학교사범대학부속고등학교,고등학교,서울특별시 동대문구 장안동 328,37.57749539,127.0744645
수동중학교,중학교,경상남도 함양군 수동면 화산리 1010,35.52403298,127.7893568
서대전여자고등학교,고등학교,대전광역시 서구 도마동 420-3,36.32668138,127.3687101
갈매중학교,중학교,경기도 구리시 갈매동 382-5,37.63089738,127.1200522
청남중학교,중학교,충청남도 청양군 청남면 청소리 218-1,36.35490381,126.9509737
홍성중학교,중학교,충청남도 홍성군 홍성읍 고암리 560,36.59701095,126.6730677
영월중학교,중학교,강원도 영월군 영월읍 영흥리 716-1,37.19116763,128.4720494
봉래중학교,중학교,강원도 영월군 영월읍 덕포리 374,37.18181687,128.485479
옥동중학교,중학교,강원도 영월군 김삿갓면 옥동리 402,37.12816564,128.5705668
경안여자중학교,중학교,경상북도 안동시 금곡동 1,36.57245242,128.7233384
가조중학교,중학교,경상남도 거창군 가조면 마상리 321-1,35.71217412,128.014988
거창중학교고제분교장,중학교,경상남도 거창군 고제면 농산리 184,35.81381493,127.8734752
과천외국어고등학교,고등학교,경기도 과천시 중앙동 11,37.432386,126.9889526
광탄고등학교,고등학교,경기도 파주시 광탄면 신산리 232,37.78317499,126.8487861
거창대성중학교,중학교,경상남도 거창군 거창읍 가지리 324,35.69167811,127.9017335
동명초등학교,초등학교,경상북도 칠곡군 동명면 금암리 302-4,35.98698665,128.5545397
입암초등학교,초등학교,경상북도 영양군 입암면 신구리 272,36.5996457,129.0873689
춘천삼육초등학교,초등학교,강원도 춘천시 동면 장학리 568-1,37.91107706,127.7536795
삼산초등학교,초등학교,인천광역시 강화군 삼산면 석모리 249-2,37.70349622,126.3223472
내황초등학교,초등학교,울산광역시 중구 반구동 395,35.55182158,129.3489924
우정초등학교,초등학교,울산광역시 중구 우정동 707,35.56031926,129.3067156
함월초등학교,초등학교,울산광역시 중구 복산동 504,35.55916209,129.3292796
화진초등학교,초등학교,울산광역시 동구 방어동 75,35.49151745,129.4250661
계동초등학교,초등학교,경상남도 김해시 대청동 333-1,35.1846582,128.7948332
철암초등학교,초등학교,강원도 태백시 철암동 341-2,37.12223076,129.0422687
금천중학교,중학교,경상북도 청도군 금천면 동곡리 1000-1,35.68790759,128.8947636
이서중학교,중학교,경상북도 청도군 이서면 서원리 331-3,35.66225521,128.6696642
군산대성중학교,중학교,전라북도 군산시 임피면 읍내리 535-4,35.98885821,126.8489417
대병중학교,중학교,경상남도 합천군 대병면 회양리 904,35.51876806,128.0118653
동해상업고등학교,고등학교,강원도 동해시 발한동 620-3,37.54387441,129.0947482
삼척마이스터고등학교,고등학교,강원도 삼척시 근덕면 교가리 540,37.3844889,129.2252084
수곡초등학교,초등학교,충청북도 청주시 서원구 수곡동 779,36.6182434,127.4712585
구영중학교,중학교,울산광역시 울주군 범서읍 구영리 753-2,35.572425,129.2364704
동대전고등학교,고등학교,대전광역시 대덕구 중리동 234-3,36.35685403,127.4236575
대구대실초등학교,초등학교,대구광역시 달성군 다사읍 죽곡리 820,35.85310922,128.4680967
포천초등학교,초등학교,경기도 포천시 신읍동 133,37.89675855,127.1971839
상평초등학교공수전분교장,초등학교,강원도 양양군 서면 공수전리 31-6,38.0417294,128.5573098
냉천초등학교,초등학교,경기도 고양시 일산동구 마두동 830,37.6663969,126.7859717
대곡초등학교,초등학교,경기도 고양시 덕양구 대장동 226-2,37.6410069,126.8126151
주엽초등학교,초등학교,경기도 고양시 일산서구 주엽동 100 주엽초등학교,37.66714584,126.7617827
주전초등학교,초등학교,울산광역시 동구 주전동 277,35.55779975,129.4569073
녹수초등학교,초등학교,울산광역시 동구 서부동 257-10,35.53066082,129.4283312
남목초등학교,초등학교,울산광역시 동구 서부동 370,35.54211133,129.4247221
세종고등학교,고등학교,세종특별자치시 조치원읍 서창리 30-2,36.61052966,127.2994816
청담고등학교,고등학교,경기도 평택시 팽성읍 송화리 821 821,36.9627249,127.0614106
미로중학교,중학교,강원도 삼척시 미로면 하거노리 449,37.41078465,129.1043317
만송초등학교,초등학교,경기도 양주시 만송동 702,37.79738086,127.0850962
연곡초등학교,초등학교,경기도 양주시 백석읍 연곡리 13-3,37.80735292,126.9618484
봉래초등학교,초등학교,강원도 영월군 영월읍 덕포리 557,37.17669465,128.4759731
고양초등학교,초등학교,경기도 고양시 덕양구 고양동 236,37.7030317,126.8999337
내유초등학교,초등학교,경기도 고양시 덕양구 내유동 431-7,37.7153948,126.8518566
금일동초등학교,초등학교,전라남도 완도군 금일읍 월송리 250,34.34000424,127.0553522
학성여자중학교,중학교,울산광역시 중구 태화동 747-1,35.55542105,129.2912135
성안중학교,중학교,울산광역시 중구 성안동 519-8,35.57278036,129.3176359
울산강남중학교,중학교,울산광역시 남구 삼산동 1535-1,35.54592163,129.3411602
영천초등학교,초등학교,경상북도 영천시 금노동 504-1,35.96141983,128.9321647
대술초등학교,초등학교,충청남도 예산군 대술면 화천리 372-2,36.6571414,126.8948886
나룰초등학교,초등학교,경기도 하남시 덕풍동 803,37.54849096,127.2090086
여수해양과학고등학교,고등학교,전라남도 여수시 돌산읍 군내리 139,34.61507951,127.7266878
진장중학교,중학교,울산광역시 북구 진장동 687-1,35.56362477,129.3582917
예당중학교,중학교,경기도 화성시 석우동 61-1,37.20787069,127.0792785
군산금광초등학교,초등학교,전라북도 군산시 금광동 168,35.98232475,126.7057858
군산월명초등학교,초등학교,전라북도 군산시 송풍동 925-3,35.97843605,126.7002548
창원동중학교,중학교,경상남도 창원시 의창구 동읍 신방리 868,35.29113266,128.6753808
기성초등학교,초등학교,경상북도 울진군 기성면 척산리 194,36.7975846,129.4492083
노음초등학교,초등학교,경상북도 울진군 근남면 노음리 586,36.95842073,129.3914227
양진중학교,중학교,경기도 안성시 공도읍 진사리 135-8,36.98633597,127.1436938
일산국제컨벤션고등학교,고등학교,경기도 고양시 일산서구 주엽동 41,37.67258802,126.7721437
경기영상과학고등학교,고등학교,경기도 고양시 일산서구 주엽동 95,37.66531012,126.7620059
서진초등학교,초등학교,경상남도 진주시 평거동 800,35.16876595,128.0569216
서벽초등학교,초등학교,경상북도 봉화군 춘양면 서벽리 349-2,37.00842962,128.833596
삼방초등학교,초등학교,경상남도 김해시 삼방동 675,35.24878744,128.9077183
산이중학교,중학교,전라남도 해남군 산이면 초송리 527,34.64518504,126.448975
남외중학교,중학교,울산광역시 중구 남외동 502-1,35.56656979,129.3484476
유곡중학교,중학교,울산광역시 중구 태화동 196,35.55905445,129.299301
일산중학교,중학교,울산광역시 동구 일산동 437-3,35.50603526,129.4229189
화진중학교,중학교,울산광역시 동구 화정동 828,35.49693663,129.4221203
호남원예고등학교,고등학교,전라남도 나주시 금천면 원곡리 253-1,35.0369986,126.7507713
경북공업고등학교,고등학교,대구광역시 중구 남산동 2380-5,35.85818735,128.5838336
대구공업고등학교,고등학교,대구광역시 동구 신암동 811,35.88311916,128.6142042
대구서부공업고등학교,고등학교,대구광역시 서구 내당동 456-1,35.8572904,128.5483577
경북여자상업고등학교,고등학교,대구광역시 남구 대명동 1804-2,35.8551658,128.5883692
거제공업고등학교,고등학교,경상남도 거제시 고현동 920-2,34.88206751,128.614492
광영여자고등학교,고등학교,서울특별시 양천구 신월동 43-3,37.53757548,126.8232464
광주인성고등학교,고등학교,광주광역시 남구 송하동 492-28,35.10283513,126.8819879
재현고등학교,고등학교,서울특별시 노원구 중계동 129-2,37.660214,127.0796775
청구고등학교,고등학교,대구광역시 동구 신천동 850-6,35.86841193,128.6202639
상평초등학교현서분교장,초등학교,강원도 양양군 서면 서림리 74-1,37.98772697,128.5297859
배정고등학교,고등학교,부산광역시 남구 문현동 985-26,35.13272169,129.0679652
상평초등학교,초등학교,강원도 양양군 서면 상평리 18,38.07337312,128.5863074
인구초등학교,초등학교,강원도 양양군 현남면 인구리 27-2,37.96765264,128.7584842
인천만수고등학교,고등학교,인천광역시 남동구 만수동 605-5,37.44709898,126.7425368
인천남동고등학교,고등학교,인천광역시 남동구 논현동 588-1,37.40570279,126.7218959
외북초등학교,초등학교,경기도 포천시 신북면 계류리 54-3,37.94656256,127.1874841
부산디지털고등학교,고등학교,부산광역시 중구 영주동 446-2,35.10871851,129.0321157
부산영상예술고등학교,고등학교,부산광역시 영도구 신선동3가 71-1,35.0847953,129.0451593
영평초등학교,초등학교,경기도 포천시 영중면 영평리 240,38.01608841,127.2175359
모산초등학교,초등학교,강원도 강릉시 장현동 43-2,37.73139845,128.9015952
수도전기공업고등학교,고등학교,서울특별시 강남구 개포동 155,37.48609632,127.0638047
부산해사고등학교,고등학교,부산광역시 영도구 동삼동 1167,35.07390772,129.0782286
부산국제외국어고등학교,고등학교,부산광역시 해운대구 우동 1025-127,35.16566125,129.1447463
정신여자고등학교,고등학교,서울특별시 송파구 잠실동 50-4,37.50875542,127.0717962
동인고등학교,고등학교,부산광역시 동래구 사직동 981-90,35.1977784,129.050703
사직여자고등학교,고등학교,부산광역시 동래구 사직동 981-1,35.19665821,129.0520547
복주여자중학교,중학교,경상북도 안동시 당북동 333-1,36.56217669,128.7177013
풍산중학교,중학교,경상북도 안동시 풍산읍 안교리 320,36.58355604,128.5651305
영남고등학교,고등학교,대구광역시 달서구 상인동 70,35.82082239,128.5375711
경원고등학교,고등학교,대구광역시 달서구 용산동 6,35.86609057,128.5245091
송현여자고등학교,고등학교,대구광역시 달서구 송현동 540,35.83150384,128.545741
풍암고등학교,고등학교,광주광역시 서구 풍암동 1006,35.12252364,126.8676352
강화여자고등학교,고등학교,인천광역시 강화군 강화읍 관청리 794-1,37.75418046,126.478545
서울한남초등학교,초등학교,서울특별시 용산구 한남동 726-1,37.5393989,127.0049096
삼광고등학교,고등학교,경기도 파주시 적성면 식현리 284,37.94503767,126.885444
동두천고등학교,고등학교,경기도 동두천시 생연동 451,37.90490474,127.0589599
지구촌고등학교,고등학교,부산광역시 연제구 거제동 75-7,35.19405204,129.0783008
부산에너지과학고등학교,고등학교,부산광역시 사상구 덕포동 45-6,35.17266864,128.9928494
무거고등학교,고등학교,울산광역시 남구 무거동 1000,35.53677007,129.2503115
울산강남고등학교,고등학교,울산광역시 남구 신정동 341,35.54920333,129.3182887
울산제일고등학교,고등학교,울산광역시 남구 옥동 910-1,35.54228586,129.2681645
