설치장소명,설치시도명,위도,경도,제공기관명
청송군청,경상북도,36.4360412,129.0398308,경상북도 청송군
청송군농업기술센터,경상북도,36.3917571,129.0642597,경상북도 청송군
청송읍사무소,경상북도,36.4342522,129.0391317,경상북도 청송군
부동면사무소,경상북도,36.3568761,129.1417115,경상북도 청송군
부남면사무소,경상북도,36.3444557,129.0457709,경상북도 청송군
현동면사무소,경상북도,36.2907256,128.999195,경상북도 청송군
현서면사무소,경상북도,36.2760524,128.8781859,경상북도 청송군
안덕면사무소,경상북도,36.2890575,128.9422691,경상북도 청송군
파천면사무소,경상북도,36.4631044,129.0202975,경상북도 청송군
진보면사무소,경상북도,36.5294276,129.0292842,경상북도 청송군
청송군보건의료원,경상북도,36.4310928,129.0347228,경상북도 청송군
부동보건지소,경상북도,36.3582175,129.1438929,경상북도 청송군
부남보건지소,경상북도,36.3444776,129.0461466,경상북도 청송군
현동보건지소,경상북도,36.2902763,128.9976596,경상북도 청송군
현서보건지소,경상북도,36.2780763,128.8782212,경상북도 청송군
안덕보건지소,경상북도,36.2890575,128.9422691,경상북도 청송군
진보보건지소,경상북도,36.5294293,129.0336983,경상북도 청송군
청송군정보화교육센터,경상북도,36.4342522,129.0391317,경상북도 청송군
청송군종합문화복지타운,경상북도,36.5294293,129.0336983,경상북도 청송군
청송국민체육센터,경상북도,36.4326678,129.0611343,경상북도 청송군
진보문화체육센터,경상북도,36.5299248,129.0343158,경상북도 청송군
청송군노인여성회관,경상북도,36.430918,129.0364524,경상북도 청송군
객주문학관,경상북도,36.5233037,129.0394277,경상북도 청송군
청송버스터미널,경상북도,36.4374729,129.0330277,경상북도 청송군
청송버스정류장,경상북도,36.4332671,129.0378191,경상북도 청송군
주왕산시외버스터미널,경상북도,36.3910979,129.1240651,경상북도 청송군
진보버스터미널,경상북도,36.5287826,129.0252366,경상북도 청송군
주왕산공원 탐방안내소,경상북도,36.3910979,129.1240651,경상북도 청송군
주왕산공원 관리사무소,경상북도,36.3939021,129.1244751,경상북도 청송군
청송시장,경상북도,36.435149,129.0346325,경상북도 청송군
부남시장,경상북도,36.346536,129.0468441,경상북도 청송군
도평시장,경상북도,36.2895903,129.0151829,경상북도 청송군
화목시장,경상북도,36.27538001,128.8797565,경상북도 청송군
안덕시장,경상북도,36.2883872,128.9408927,경상북도 청송군
진보시장,경상북도,36.5283894,129.0287666,경상북도 청송군
군민운동장,충청북도,36.1596755,127.7853568,충청북도 영동군
영동체육관,충청북도,36.1642048,127.7819752,충청북도 영동군
용두공원,충청북도,36.1686046,127.7833214,충청북도 영동군
물한계곡,충청북도,36.0597093,127.8739897,충청북도 영동군
민주지산휴양림,충청북도,36.0520361,127.8356876,충청북도 영동군
천태산,충청북도,36.1645147,127.623615,충청북도 영동군
송호국민관광지,충청북도,36.1288543,127.6748078,충청북도 영동군
난계국악박물관,충청북도,36.2107961,128.705819,충청북도 영동군
목포공공도서관,전라남도,34.8072191,126.3762901,전라남도교육청 목포공공도서관
가덕면사무소,충청북도,36.553546,127.548753,충청북도 청주시
금천동주민센터,충청북도,36.624409,127.499445,충청북도 청주시
남일면사무소,충청북도,36.586875,127.509452,충청북도 청주시
낭성면사무소,충청북도,36.622738,127.605099,충청북도 청주시
문의면사무소,충청북도,36.517729,127.496192,충청북도 청주시
미원면사무소,충청북도,36.636122,127.658419,충청북도 청주시
상당구청,충청북도,36.634623,127.488204,충청북도 청주시
제2청사,충청북도,36.634623,127.488204,충청북도 청주시
성안동주민센터,충청북도,36.618006,127.498854,충청북도 청주시
영운동주민센터,충청북도,36.617978,127.498876,충청북도 청주시
용담명암산성동주민센터,충청북도,36.635156,127.503708,충청북도 청주시
용암1동주민센터,충청북도,36.608813,127.501282,충청북도 청주시
용암2동주민센터,충청북도,36.607197,127.507998,충청북도 청주시
중앙동주민센터,충청북도,36.639855,127.488188,충청북도 청주시
청주농협,충청북도,36.609101,127.505569,충청북도 청주시
청주시청,충청북도,36.642143,127.489108,충청북도 청주시
청주우체국,충청북도,36.633796,127.488502,충청북도 청주시
충북도청,충청북도,36.635809,127.491334,충청북도 청주시
탑대성동주민센터,충청북도,36.633217,127.494557,충청북도 청주시
기술보증기금(흥덕구),충청북도,36.612679,127.471967,충청북도 청주시
남이면사무소,충청북도,36.560468,127.431538,충청북도 청주시
모충동주민센터,충청북도,36.627662,127.476785,충청북도 청주시
분평동주민센터,충청북도,36.608716,127.488641,충청북도 청주시
사직1동주민센터,충청북도,36.640157,127.481113,충청북도 청주시
사직2동주민센터,충청북도,36.631638,127.473745,충청북도 청주시
사창동주민센터,충청북도,36.628299,127.458325,충청북도 청주시
산남동주민센터,충청북도,36.610611,127.479007,충청북도 청주시
성화개신죽림동주민센터,충청북도,36.628299,127.458325,충청북도 청주시
수곡1동주민센터,충청북도,36.618292,127.479931,충청북도 청주시
수곡2동주민센터,충청북도,36.617361,127.472016,충청북도 청주시
청주우편집중국,충청북도,36.617326,127.472004,충청북도 청주시
청주전파관리소,충청북도,36.636029,127.464209,충청북도 청주시
청주종합고용지원센터,충청북도,36.607277,127.482518,충청북도 청주시
청주축산농협 분평지점,충청북도,36.607499,127.48989,충청북도 청주시
한국농어촌공사,충청북도,36.607277,127.482518,충청북도 청주시
한국수자원공사,충청북도,36.60472,127.455006,충청북도 청주시
현도면사무소,충청북도,36.486509,127.424177,충청북도 청주시
흥덕구청,충청북도,36.63759,127.469814,충청북도 청주시
가경동주민센터,충청북도,36.628863,127.433031,충청북도 청주시
강내면사무소,충청북도,36.621159,127.357518,충청북도 청주시
강서1동주민센터,충청북도,36.626882,127.424175,충청북도 청주시
강서2동주민센터,충청북도,36.661407,127.426091,충청북도 청주시
복대1동주민센터,충청북도,36.635525,127.432491,충청북도 청주시
복대2동주민센터,충청북도,36.626134,127.441562,충청북도 청주시
봉명1동주민센터,충청북도,36.640452,127.459619,충청북도 청주시
봉명2송정동주민센터,충청북도,36.644688,127.455672,충청북도 청주시
서청주우체국,충청북도,36.63848,127.43524,충청북도 청주시
오송읍사무소,충청북도,36.609148,127.324535,충청북도 청주시
옥산면사무소,충청북도,36.664593,127.375628,충청북도 청주시
운천신봉동주민센터,충청북도,36.647895,127.476721,충청북도 청주시
청주시 평생학습관,충청북도,36.636366,127.450311,충청북도 청주시
충북원예농협 하복대지점,충청북도,36.639416,127.435183,충청북도 청주시
