도서관명,열람좌석수,자료수(도서),자료수(연속간행물),위도,경도,제공기관명
강북문화정보도서관,282,197717,96,37.6251737,127.0361251,강북구도시관리공단
강북청소년문화정보도서관,154,41010,55,37.6231131,127.0216031,강북구도시관리공단
솔샘문화정보도서관,132,53612,50,37.6205181,127.0124524,강북구도시관리공단
송중문화정보도서관,67,27916,21,37.6183421,127.0300331,강북구도시관리공단
수유문화정보도서관,152,36361,34,37.630129,127.017543,강북구도시관리공단
미아문화정보도서관,140,35236,45,37.6270633,127.0269805,강북구도시관리공단
삼각산어린이도서관,182,12284,0,37.6615515,126.9858589,강북구도시관리공단
서초구립반포도서관,580,145516,113416,37.502601,127.012615,서울특별시 서초구
서초구립내곡도서관,190,23450,22842,37.452838,127.054169,서울특별시 서초구
서이도서관,100,23059,23059,37.49275,127.024944,서울특별시 서초구
잠원도서관,80,16924,16924,37.515249,127.013965,서울특별시 서초구
방배도서관,60,9817,9817,37.480523,126.999079,서울특별시 서초구
서초그림책도서관,100,8423,8423,37.490761,127.004639,서울특별시 서초구
다독다독,20,4064,0,35.617756,127.288561,전라북도 임실군
안 전,20,3778,0,35.613189,127.283231,전라북도 임실군
성수골,10,16000,0,35.629738,127.3306101,전라북도 임실군
충 경,10,8292,0,,,전라북도 임실군
무지개빛,10,8299,0,35.673119,127.277406,전라북도 임실군
필 봉,10,3756,0,35.536995,127.154416,전라북도 임실군
아낌없이 주는나무,10,4335,0,35.641111,127.301438,전라북도 임실군
지사랑,10,3400,0,35.562635,127.355822,전라북도 임실군
전라북도 임실군립도서관,150,42863,13,35.5418188,127.3294665,전라북도 임실군
금산인삼고을도서관,300,62639,32,36.111102,127.490593,충청남도 금산군
금산기적의도서관,100,48559,25,36.1109991,127.4906171,충청남도 금산군
추부도서관,100,44252,11,36.1909283,127.4700975,충청남도 금산군
진산도서관,120,31869,12,36.1438881,127.3698109,충청남도 금산군
금산작은도서관,20,6847,2,36.0971783,127.4915523,충청남도 금산군
제원작은도서관,20,6428,2,36.1130544,127.5467774,충청남도 금산군
군북작은도서관,20,6316,2,36.166411,127.5260219,충청남도 금산군
남일작은도서관,20,5374,2,36.0448224,127.5042748,충청남도 금산군
동구도서관,440,10,103458,35.138147,129.052451,부산광역시 동구
도계도서관,180,78310,50,37.2323751,129.0496161,강원도 삼척시
원덕도서관,75,64517,60,37.177051,129.334763,강원도 삼척시
교육문화관,578,181428,355,37.445147,129.164871,강원도 삼척시
남양작은도서관,20,4805,121,37.441259,129.166694,강원도 삼척시
부산광역시립중앙도서관,883,292285,88,35.110037,129.026942,부산광역시교육청 부산광역시립시민도서관
부산광역시립중앙도서관 수정분관,307,98420,60,35.124551,129.040559,부산광역시교육청 부산광역시립시민도서관
부산영어도서관,256,51491,27,35.157234,129.051661,부산광역시교육청 부산광역시립시민도서관
부산광역시립구포도서관,1543,298184,475,35.194221,128.995592,부산광역시교육청 부산광역시립시민도서관
부산광역시립해운대도서관,967,208008,347,35.177906,129.168934,부산광역시교육청 부산광역시립시민도서관
부산광역시립해운대도서관 우동분관,243,127051,402,35.168899,129.155662,부산광역시교육청 부산광역시립시민도서관
부산광역시립시민도서관,2232,743158,663,35.183526,129.050206,부산광역시교육청 부산광역시립시민도서관
부산광역시립부전도서관,445,274007,260,35.155963,129.061837,부산광역시교육청 부산광역시립시민도서관
부산광역시립반송도서관,339,181584,293,35.225024,129.148362,부산광역시교육청 부산광역시립시민도서관
부산광역시립구덕도서관,290,151158,667,35.121671,129.016923,부산광역시교육청 부산광역시립시민도서관
부산광역시립서동도서관,245,143500,310,35.219834,129.099385,부산광역시교육청 부산광역시립시민도서관
부산광역시립사하도서관,332,167486,643,35.103182,128.990924,부산광역시교육청 부산광역시립시민도서관
부산광역시립연산도서관,330,111378,457,35.185912,129.104009,부산광역시교육청 부산광역시립시민도서관
부산광역시립명장도서관,281,190661,347,35.200876,129.106558,부산광역시교육청 부산광역시립시민도서관
교문2동작은도서관,12,12479,10,37.587001,127.134251,경기도 구리시
수택1동작은도서관,16,11201,10,37.596331,127.149091,경기도 구리시
인창동작은도서관,32,13578,16,37.606521,127.133081,경기도 구리시
교문도서관,458,167982,171,37.595199,127.134575,경기도 구리시
인창도서관,527,230790,220,37.604865,127.145912,경기도 구리시
토평도서관,571,151299,138,37.586308,127.145419,경기도 구리시
수택작은도서관,28,13170,15,37.591571,127.138131,경기도 구리시
갈매작은도서관,36,7317,14,37.633183,127.117793,경기도 구리시
무안군공공도서관,150,59487,30,35.109842,126.293846,전라남도 무안군
