자전거보관소명,위도,경도,보관대수,제공기관명
교대역 12번출구 앞,37.4933096,127.0052027,10,서울특별시 서초구
교대역 6~7번출구 앞,37.4940645,127.0051735,7,서울특별시 서초구
교대역 8번출구 앞,37.4933027,127.0046973,12,서울특별시 서초구
교대역 11번출구 앞,37.4938345,127.0046145,5,서울특별시 서초구
교대역 13번출구 뒤 1,37.4920659,127.0054972,7,서울특별시 서초구
교대역 13번출구 뒤 2,37.4923675,127.0054616,10,서울특별시 서초구
교대역 14번출구 뒤,37.4920935,127.0047041,7,서울특별시 서초구
남부터미널 4번출구 앞 1,37.4846405,127.0082214,5,서울특별시 서초구
남부터미널 4번출구 앞 2,37.4846405,127.0082214,5,서울특별시 서초구
남부터미널 5번출구 앞,37.4842201,127.0066439,15,서울특별시 서초구
남부터미널 5번출구 뒤,37.4835639,127.0083407,10,서울특별시 서초구
양재역 1번출구 앞,37.4847605,127.033371,21,서울특별시 서초구
양재역 2번출구 뒤,37.484936,127.033408,8,서울특별시 서초구
양재역 5번출구 앞,37.484486,127.035065,31,서울특별시 서초구
양재역 8번출구 앞,37.482403,127.036855,10,서울특별시 서초구
양재역 11번출구 뒤,37.484068,127.033938,23,서울특별시 서초구
강남역 7번출구 앞,37.4935637,127.0207666,12,서울특별시 서초구
서초역 1번출구 뒤,37.491074,126.9994841,12,서울특별시 서초구
서초역 5번출구 앞,37.4919027,126.9984916,5,서울특별시 서초구
서초역 3번출구 옆,37.4879378,127.0007061,9,서울특별시 서초구
서초역 4번출구 옆,37.4912564,126.997171,16,서울특별시 서초구
잠원역 4번출구 뒤,37.513038,127.011525,11,서울특별시 서초구
잠원역 2번출구,37.512606,127.011088,5,서울특별시 서초구
신사역 4번출구 뒤,37.5118849,127.0192402,10,서울특별시 서초구
신사역 5번출구 앞,37.5175666,127.0101754,10,서울특별시 서초구
동작역 1번출구 앞,37.5013439,126.9808829,77,서울특별시 서초구
논현역 6번출구 뒤,37.5175666,127.0101754,10,서울특별시 서초구
고속버스터미널역8-1번출구(9호선) 뒤,37.5077266,127.0140062,10,서울특별시 서초구
고속버스터미널역8-1번출구(9호선),37.5077266,127.0140062,18,서울특별시 서초구
고속버스터미널역 8-2번출구(9호선) 뒤,37.5077266,127.0140062,24,서울특별시 서초구
고속버스터미널역5번출구(7호선) 앞,37.5004775,126.9903189,40,서울특별시 서초구
고속버스터미널역6번출구(7호선) 앞,37.502439,127.002603,20,서울특별시 서초구
고투몰 4번출구 앞,37.506125,127.004971,7,서울특별시 서초구
반포역 6번출구 1,37.5087269,127.0121899,20,서울특별시 서초구
반포역 6번출구 2,37.5087269,127.0121899,5,서울특별시 서초구
반포역 4번출구 뒤,37.5082651,127.0030481,5,서울특별시 서초구
반포역 3번출구 앞,37.507567,127.010166,15,서울특별시 서초구
반포역 2번출구,37.508021,127.011758,5,서울특별시 서초구
반포역 5번출구 앞,37.508289,127.011221,10,서울특별시 서초구
방배역 1번출구 뒤,37.4812978,126.9892508,2,서울특별시 서초구
방배역 1번출구 앞,37.4812978,126.9892508,5,서울특별시 서초구
방배역 2번출구 뒤,37.4811717,126.9887346,5,서울특별시 서초구
방배역 3번출구 앞,37.4815644,126.9884953,14,서울특별시 서초구
방배역 3번출구 뒤,37.4815644,126.9884953,12,서울특별시 서초구
방배역 4번출구 앞,37.4818055,126.9977917,22,서울특별시 서초구
내방역 1번출구 뒤,37.4818222,126.9890369,8,서울특별시 서초구
내방역 2번출구 뒤,37.4818222,126.9890369,7,서울특별시 서초구
내방역 3번출구 전방 40M,37.4864714,126.9856233,10,서울특별시 서초구
내방역 4번출구 다이소 앞,37.4873734,126.9845686,7,서울특별시 서초구
내방역 6번출구 앞,37.488125,126.993191,19,서울특별시 서초구
내방역7번출구 뒤 하나은행 앞,37.487933,126.9852113,12,서울특별시 서초구
내방역7번출구 앞,37.488079,126.993461,4,서울특별시 서초구
사당역 3번출구 뒤,37.4753989,126.9732641,5,서울특별시 서초구
사당역 12번출구 앞,37.4780177,126.9730918,15,서울특별시 서초구
사당역 13번출구 뒤,37.4770191,126.9734841,5,서울특별시 서초구
사당역 14번출구 옆,37.4768044,126.9737719,14,서울특별시 서초구
사당역 14번출구 앞,37.4768044,126.9737719,20,서울특별시 서초구
사당역 14번출구 뒤,37.4768044,126.9737719,15,서울특별시 서초구
사당역 1번출구,37.476246,126.982428,5,서울특별시 서초구
이수역 1번출구 앞 프리마베라웨딩 앞,37.4888962,126.973842,4,서울특별시 서초구
이수역 2번출구 뒤,37.4872905,126.9736364,10,서울특별시 서초구
이수역 3번출구 앞 1 (스타벅스 앞),37.4864305,126.9735848,15,서울특별시 서초구
이수역 3번출구 앞 2 (GS25 편의점 앞),37.485398,126.9733885,10,서울특별시 서초구
이수역 3번출구 앞 3,37.485398,126.9733885,11,서울특별시 서초구
이수역 5번출구 옆,37.485398,126.9733885,15,서울특별시 서초구
이수역 6번출구 옆~뒤,37.485398,126.9733885,22,서울특별시 서초구
신반포역 1번출구 앞,37.5037204,126.9880871,20,서울특별시 서초구
신반포역 1번출구 뒤,37.5037204,126.9880871,10,서울특별시 서초구
신반포역 2번출구 뒤,37.5037204,126.9880871,10,서울특별시 서초구
신반포역 3번출구 앞,37.5037204,126.9880871,10,서울특별시 서초구
신반포역 3번출구 뒤,37.5037204,126.9880871,10,서울특별시 서초구
신반포역 4번출구 뒤,37.5037204,126.9880871,10,서울특별시 서초구
신논현역 6번출구 뒤,37.501395,127.0192763,10,서울특별시 서초구
신논현역 2번출구 뒤 국민은행 앞,37.5077266,127.0140062,5,서울특별시 서초구
신논현역 1번출구 뒤 버거킹 앞,37.5038206,127.0131478,5,서울특별시 서초구
양재시민의숲역 1번출구 1,37.4696236,127.0302378,10,서울특별시 서초구
양재시민의숲역 1번출구 2,37.4696236,127.0302378,4,서울특별시 서초구
양재시민의숲역 2번출구 앞,37.4700605,127.0392648,15,서울특별시 서초구
양재시민의숲역 2번출구 뒤,37.4700605,127.0392648,14,서울특별시 서초구
양재시민의숲역 2~3번출구 사이,37.4700605,127.0392648,9,서울특별시 서초구
양재시민의숲역 3번출구 전방 50M,37.4700605,127.0392648,9,서울특별시 서초구
양재시민의숲역 4~5번출구 사이,37.4696429,127.0299492,20,서울특별시 서초구
양재시민의숲역 5번출구,37.4693331,127.0301872,6,서울특별시 서초구
청계산입구역 1번출구 뒤,37.448705,127.054592,20,서울특별시 서초구
청계산입구역 1번출구 좌측,37.4490288,127.045396,24,서울특별시 서초구
청계산입구역 2번출구 옆 1,37.4474292,127.0464909,11,서울특별시 서초구
청계산입구역 2번출구 옆 2,37.4479762,127.045937,10,서울특별시 서초구
청계산입구역 2번출구 후방 90M 버스정류장 뒤,37.447877,127.054983,20,서울특별시 서초구
구반포역 1번출구 뒤,37.501476,126.986542,20,서울특별시 서초구
구반포역 3번출구,37.501502,126.986974,6,서울특별시 서초구
서초역 3번출구 옆,37.4915154,127.0076958,7,서울특별시 서초구
서초역 4번출구 옆,37.4914877,126.9984281,16,서울특별시 서초구
사평역 1번출구,37.5047782,127.0126551,20,서울특별시 서초구
사평역 2번출구,37.5035125,127.0132135,20,서울특별시 서초구
서일중학교,37.4990723,127.0133839,60,서울특별시 서초구
세화고등학교,37.5018721,126.9835088,160,서울특별시 서초구
반포초등학교,37.5027578,126.9823444,60,서울특별시 서초구
신반포중학교,37.5060855,126.9871212,50,서울특별시 서초구
반원초등학교,37.509935,127.003825,10,서울특별시 서초구
경원중학교,37.510521,127.008953,37,서울특별시 서초구
서래초등학교,37.4960336,126.9872011,10,서울특별시 서초구
서래초등학교,37.4960336,126.9872011,5,서울특별시 서초구
서래초등학교,37.4960336,126.9872011,12,서울특별시 서초구
서울교육대학교,37.4899657,127.0142237,64,서울특별시 서초구
언남중학교,37.472385,127.0417215,20,서울특별시 서초구
언남초등학교,37.4539816,127.059154,20,서울특별시 서초구
방배초등학교,37.4865132,126.9850173,69,서울특별시 서초구
반포중학교,37.5029963,126.989953,27,서울특별시 서초구
양재고등학교,37.4829389,127.030449,20,서울특별시 서초구
서울고등학교,37.4837163,127.0033638,39,서울특별시 서초구
서초중학교,37.4852848,127.0064915,20,서울특별시 서초구
반포고등학교,37.5019664,127.0143718,30,서울특별시 서초구
언남고등학교,37.4728426,127.0408345,50,서울특별시 서초구
원촌중학교,37.505998,127.013601,35,서울특별시 서초구
서문여자고등학교,37.489363,126.985463,10,서울특별시 서초구
서초구청,37.483536,127.032693,50,서울특별시 서초구
잠원동 주민센터,37.5149626,127.011751,5,서울특별시 서초구
잠원 스포츠파크,37.5109352,127.0030297,20,서울특별시 서초구
반포종합운동장,37.5005913,126.9919603,40,서울특별시 서초구
반포종합사회복지관 앞,37.5099632,127.0087792,12,서울특별시 서초구
반포3동 주민센터,37.5119906,127.003363,9,서울특별시 서초구
방배1동 주민센터,37.4833273,126.9922816,10,서울특별시 서초구
심산기념관,37.4990475,126.9894203,60,서울특별시 서초구
방배4동 주민센터,37.4889257,126.9878702,9,서울특별시 서초구
