주차장명,관리기관명,위도,경도
해운대구청 주변 공영,부산광역시 해운대구,35.16175547,129.1625386
송정호안도로 A,부산광역시 해운대구,35.18053174,129.2050953
송정호안도로 B,부산광역시 해운대구,35.18053174,129.2050953
송정 광어골,부산광역시 해운대구,35.17557974,129.1961375
해운대교육지원청주변공영,부산광역시 해운대구,,
좌2동 노상공영,부산광역시 해운대구,35.16885943,129.1824629
반여2동 제1공영,부산광역시 해운대구,35.19571685,129.1273916
반여2동 제2공영,부산광역시 해운대구,35.19424621,129.1323064
반여3동 제2공영,부산광역시 해운대구,35.20277331,129.1319716
반송1동 제1공영,부산광역시 해운대구,35.22081459,129.146627
반송1동 제2공영,부산광역시 해운대구,35.22497776,129.1515028
좌1동 공영주차장,부산광역시 해운대구,35.17197816,129.1754083
대우1차아파트 앞 공영,부산광역시 해운대구,35.1676477,129.178493
두산위브 뒤 공영,부산광역시 해운대구,35.16774335,129.1759803
좌동문화원부지 공영,부산광역시 해운대구,35.17018087,129.1749302
문탠로드관광 공영,부산광역시 해운대구,35.16066982,129.1718415
재송2동 공영,부산광역시 해운대구,35.19240168,129.1267167
반송2동 공영,부산광역시 해운대구,35.22964675,129.1518458
해월정 달맞이길 공영,부산광역시 해운대구,35.15768031,129.1825416
동백 공영,부산광역시 해운대구,35.15793143,129.1534133
청사포 공영,부산광역시 해운대구,35.16195031,129.1917986
재반로 노상공영 A,부산광역시 해운대구,,
재반로 노상공영 B,부산광역시 해운대구,,
재반로 노상공영 C,부산광역시 해운대구,,
재반로 노상공영 D,부산광역시 해운대구,,
왕자주차장,부산광역시 해운대구,35.19603282,129.1178006
양지주차장,부산광역시 해운대구,35.21967584,129.1526982
장원주차장,부산광역시 해운대구,35.20525882,129.1248913
송림주차장,부산광역시 해운대구,35.15825885,129.1564856
미포주차장,부산광역시 해운대구,35.15940626,129.1705438
반여주차장,부산광역시 해운대구,35.20577257,129.1249882
예스렌트카주차장,부산광역시 해운대구,35.16317817,129.1728694
진영주차장,부산광역시 해운대구,35.2199192,129.1529989
삼성주차장,부산광역시 해운대구,35.16189943,129.1617436
성진주차장,부산광역시 해운대구,35.18533629,129.1261242
태영주차장,부산광역시 해운대구,35.16156263,129.1598122
일승주차장,부산광역시 해운대구,35.17367129,129.177069
제일주차장,부산광역시 해운대구,35.22446795,129.1465168
해운대역주차장,부산광역시 해운대구,35.16516386,129.1606053
