관광안내소명,시도명,위도,경도,제공기관명
남해관광안내소,경상남도,34.49553,127.540009,경상남도 남해군
창선관광안내소,경상남도,34.520504,128.015031,경상남도 남해군
이락사관광안내소,경상남도,34.544838,127.512617,경상남도 남해군
가천관광안내소,경상남도,34.434124,127.532939,경상남도 남해군
독일마을관광안내소,경상남도,34.480343,128.021861,경상남도 남해군
창선다목적광장 관광안내소,경상남도,34.521944,128.003387,경상남도 남해군
남계서원,경상남도,35.549522,127.783338,경상남도 함양군
일두홍보관,경상남도,35.567333,127.768058,경상남도 함양군
상림관광안내소,경상남도,35.524844,127.721893,경상남도 함양군
용추관광안내소,경상남도,35.668969,127.787934,경상남도 함양군
부산의료관광안내센터,부산광역시,35.1531142,129.0555425,부산광역시 부산진구
통도사 관광안내소,경상남도,35.748741,129.057803,경상남도 양산시
내원사 관광안내소,경상남도,35.447183,129.1104508,경상남도 양산시
원동역 관광안내소,경상남도,35.367988,128.919293,경상남도 양산시
종합관광안내소,전라남도,34.838255,126.422269,전라남도 목포시
목포역관광안내소,전라남도,34.794192,126.384432,전라남도 목포시
노적봉관광안내소,전라남도,34.788769,126.381437,전라남도 목포시
버스터미널관광안내소,전라남도,34.812722,126.417197,전라남도 목포시
평화광장관광안내소,전라남도,34.798818,126.4330296,전라남도 목포시
목포대교 관광안내소,전라남도,34.804318,126.367242,전라남도 목포시
도봉탐방지원센터,서울특별시,37.6861992,127.0373533,서울특별시 도봉구
송파관광정보센터,서울특별시,37.511873,127.104146,서울특별시 송파구
김포공항관광정보센터,서울특별시,37.565936,126.801507,서울특별시
명동관광정보센터,서울특별시,37.565421,126.984961,서울특별시
서울역 관광정보센터,서울특별시,37.554616,126.970575,서울특별시
용산역 관광정보센터,서울특별시,37.530155,126.964775,서울특별시
인천공항 제1여객터미널 관광정보센터,인천광역시,37.448887,126.451093,서울특별시
인천공항 제2여객터미널 관광정보센터,인천광역시,37.461814,126.436911,서울특별시
DDP관광안내소,서울특별시,37.34012,127.00364,서울특별시
광화문관광안내소,서울특별시,37.34101,126.58356,서울특별시
남대문관광안내소,서울특별시,37.3332,126.58372,서울특별시
동대문안내소,서울특별시,37.34011,127.00279,서울특별시
삼일교관광안내소,서울특별시,37.34077,126.59135,서울특별시
삼청로 관광안내소,서울특별시,37.34538,126.58527,서울특별시
시민청안내소,서울특별시,37.33598,126.58399,서울특별시
신촌역사관광안내소,서울특별시,37.33363,126.56321,서울특별시
이태원역관광안내소(지상),서울특별시,37.32052,126.59406,서울특별시
이태원역사 종합관광안내소,서울특별시,37.32052,126.59405,서울특별시
잠실관광안내소,서울특별시,37.31041,127.04287,서울특별시
홍대입구 관광안내소,서울특별시,37.33166,126.55222,서울특별시
만화정 관광안내소,경상북도,35.6777046,128.891661,경상북도 청도군
운문사 관광안내소,경상북도,35.6611331,128.9600846,경상북도 청도군
청도역 관광안내소,경상북도,35.6398004,128.7461803,경상북도 청도군
석빙고 관광안내소,경상북도,35.6500369,128.7081043,경상북도 청도군
계산예가관광안내소,대구광역시,35.8671442,128.5876456,대구광역시 중구
쌈지공원관광안내소,대구광역시,35.8676593,128.5868195,대구광역시 중구
김광석길관광안내소,대구광역시,35.8615893,128.6077058,대구광역시 중구
문경새재관광안내소,경상북도,36.7633233,128.075523,경상북도 문경시
문경관광안내센터,경상북도,36.741884,128.083107,경상북도 문경시
논개생가,전라북도,35.680842,127.620143,전라북도 장수군
논개사당,전라북도,35.644251,127.522714,전라북도 장수군
성안길관광안내소,충청북도,36.649649,127.493941,충청북도 청주시
수암골관광안내소,충청북도,36.649442,127.494113,충청북도 청주시
오목대 관광안내소,전라북도,35.8151453,127.1539349,전라북도 전주시
경기전 관광안내소,전라북도,35.814387,127.150315,전라북도 전주시
한옥마을 관광안내소,전라북도,35.819181,127.159553,전라북도 전주시
고속터미널 관광안내소,전라북도,35.835197,127.128137,전라북도 전주시
전주역 관광안내소,전라북도,38.850159,127.160159,전라북도 전주시
향청종합관광안내소,경상북도,36.418248,128.162886,경상북도 상주시
경천대종합관광안내소,경상북도,36.457222,128.247865,경상북도 상주시
경천섬종합관광안내소,경상북도,36.440673,128.253905,경상북도 상주시
