관광지명,위도,경도,면적,수용인원수,제공기관명
오수의견관광지,35.545326,127.333039,0,0,전라북도 임실군
사선대관광지,35.672357,127.274526,0,0,전라북도 임실군
최참판댁,35.155961,127.688408,9529,5000,경상남도 하동군
화개장터,35.187995,127.624366,8226,3000,경상남도 하동군
삼성궁,35.238866,127.705394,43967,3000,경상남도 하동군
이병주문학관,35.097358,127.894176,13535,500,경상남도 하동군
지리산역사관,35.289936,127.646527,4311,100,경상남도 하동군
소요산관광지,37.9464858,127.069317,2472000,100000,경기도 동두천시
경천대관광지,36.457131,128.247205,209000,3000,경상북도 상주시
회상나루관광지,36.442044,128.265614,165000,1500,경상북도 상주시
김해가야테마파크,35.25107,128.892977,165078,5000,경상남도 김해시
김해낙동강레일파크,35.372061,128.820902,313.87,1000,경상남도 김해시
가야랜드,35.261196,128.901496,1352.91,1000,경상남도 김해시
김해천문대,35.253073,128.887372,6600,500,경상남도 김해시
롯데워터파크,35.1799,128.828069,122397.27,500,경상남도 김해시
클레이아크,35.251256,128.744756,41952,500,경상남도 김해시
김해한옥체험관,35.234399,128.877076,4132,30,경상남도 김해시
국립김해박물관,35.243107,128.873481,16783.83,1000,경상남도 김해시
노무현대통령생가,35.314725,128.771158,305,5000,경상남도 김해시
수로왕릉,35.235531,128.878424,49488,5000,경상남도 김해시
부경동물원,35.220593,128.81984,250,500,경상남도 김해시
도림사,35.2670616,127.2576332,242.55,1000,전라남도 곡성군
섬진강 기차마을,35.2780945,127.3074651,218369,50000,전라남도 곡성군
예술의전당,37.4786094,127.0113069,120734,7000,서울특별시 서초구
국립국악원,37.4786094,127.0113069,36622,1160,서울특별시 서초구
헌인릉,37.4546296,127.0671663,247,500,서울특별시 서초구
매헌 윤봉길의사 기념관,37.4712172,127.0367358,2627,400,서울특별시 서초구
고투몰,37.5076744,127.0093594,15601,20000,서울특별시 서초구
"세빛섬, 반포대교 달빛무지개분수",37.5114101,126.9932583,10421,20000,서울특별시 서초구
삼성딜라이트,37.4966085,127.0269023,196561,100,서울특별시 서초구
대성관광지,37.6813897,127.379291,262722,1000,경기도 가평군
산장관광지,37.7541277,127.4106146,118040,2700,경기도 가평군
고구려대장간마을,37.582862,127.118891,4928,200,경기도 구리시
동구릉,37.618696,127.134226,1969675,5000,경기도 구리시
한반도섬,38.130488,127.980792,4500,5000,강원도 양구군
파로호뱃길나루터,38.129608,127.988708,720,50,강원도 양구군
호미곶관광단지,36.076817,129.566247,221366,1000000,경상북도 포항시
황령산관광지,35.155156,129.102558,174890,10000,부산광역시 수영구
맹종죽테마공원,34.967774,128.650431,40215,1000,경상남도 거제시
거제박물관,34.893985,128.686158,899.16,200,경상남도 거제시
거제시농업개발원,34.856531,128.579362,58904.67,3000,경상남도 거제시
거제요트학교,34.833834,128.701568,174,250,경상남도 거제시
거제자연휴양림,34.785638,128.625982,1200000,2000,경상남도 거제시
계도어촌체험마을,34.974797,128.517509,516.32,100,경상남도 거제시
다대어촌체험마을,34.734399,128.630541,6143.9,100,경상남도 거제시
도장포어촌체험마을,34.743422,128.662531,928.12,200,경상남도 거제시
쌍근어촌체험마을,34.762547,128.589615,1451.25,200,경상남도 거제시
이수도어촌체허마을,34.967813,128.725072,30000,2000,경상남도 거제시
씨라인,34.912305,128.714841,514.12,200,경상남도 거제시
오션베이,34.843238,128.702544,10630.15,500,경상남도 거제시
옥포대첩기념공원,34.899986,128.711396,25046.53,1000,경상남도 거제시
조선해양문화관,34.83369412,128.701543,4510.12,300,경상남도 거제시
지심도,34.820598,128.750411,400033.31,3000,경상남도 거제시
칠천량해전공원,34.977564,128.628359,6841.2,1000,경상남도 거제시
포로수용소유적공원,34.876385,128.624853,79000,2000,경상남도 거제시
거제해금강,34.732651,128.684033,102000,0,경상남도 거제시
외도,34.769412,128.712652,139463,2000,경상남도 거제시
