공원명,위도,경도,공원면적,제공기관명
문화근린공원,35.1849172,126.9166864,87710.3,광주광역시 북구
두암제1근린공원,35.1651036,126.9376496,13383.5,광주광역시 북구
첨단체육근린공원,35.2205463,126.858765,170920.6,광주광역시 북구
일곡제1근린공원,35.2079754,126.8954453,34840.3,광주광역시 북구
일곡제2근린공원,35.2064997,126.8983947,10315,광주광역시 북구
일곡제3근린공원,35.2025932,126.8962296,14313.6,광주광역시 북구
첨단2주거1호근린공원,35.2077934,126.8613964,34505.3,광주광역시 북구
첨단2산업2호근린공원,35.2014475,126.8636426,48063.4,광주광역시 북구
첨단2주거3호근린공원,35.2123642,126.8575359,22483.2,광주광역시 북구
우산근린공원,35.1756255,126.9263108,133120,광주광역시 북구
본촌근린공원,35.2025321,126.8736607,100811,광주광역시 북구
운암제3 근린공원,35.1802204,126.8758031,11024,광주광역시 북구
영산강대상근린공원,35.2190864,126.8583302,343538.5,광주광역시 북구
운암산 근린공원,35.1838609,126.8680464,368907,광주광역시 북구
태봉어린이공원,35.1629176,126.9030896,2960,광주광역시 북구
미리내어린이공원,35.1598855,126.9081493,2056,광주광역시 북구
운암어린이공원,35.1739887,126.8815165,2496.5,광주광역시 북구
버들어린이공원,35.1724838,126.8837449,3515.4,광주광역시 북구
지우어린이공원,35.1753429,126.8837057,3860.5,광주광역시 북구
신용제1어린이공원,35.1716172,126.8982976,3817.5,광주광역시 북구
효동어린이공원,35.1682873,126.9092391,4205,광주광역시 북구
효죽어린이공원,35.1725538,126.9109512,3529.3,광주광역시 북구
용흥어린이공원,35.1763308,126.9139155,2330,광주광역시 북구
꿈동산어린이공원,35.1771361,126.9331745,2205.9,광주광역시 북구
무등어린이공원,35.1773615,126.9365556,1747.8,광주광역시 북구
희망어린이공원,35.1795632,126.9279029,2578.5,광주광역시 북구
우리어린이공원,35.1802224,126.9212187,1873.1,광주광역시 북구
하백어린이공원,35.1912495,126.8909254,1666,광주광역시 북구
무진어린이공원,35.1705937,126.9358188,1500,광주광역시 북구
부영어린이공원,35.1685849,126.9357164,3414,광주광역시 북구
초롱어린이공원,35.1694497,126.9383265,1674,광주광역시 북구
평교어린이공원,35.1793627,126.9247938,1538.5,광주광역시 북구
그린어린이공원,35.1743275,126.9245834,2326.2,광주광역시 북구
둘리어린이공원,35.1708251,126.9313478,2349.5,광주광역시 북구
새싹어린이공원,35.1741719,126.9320593,2333.6,광주광역시 북구
어울림어린이공원,35.1688205,126.927779,2296.2,광주광역시 북구
반룡어린이공원,35.1799986,126.9026336,1783,광주광역시 북구
봉곡어린이공원,35.179946,126.9000072,1905.1,광주광역시 북구
새봄어린이공원,35.1778426,126.9005515,1801.5,광주광역시 북구
용주어린이공원,35.1821276,126.9041179,1851,광주광역시 북구
고운어린이공원,35.1861634,126.910142,2500.8,광주광역시 북구
박들어린이공원,35.1911912,126.9033484,1803.5,광주광역시 북구
