휴게소명,위도,경도
강릉(강릉),37.757335,128.806812
강릉(서창),37.759783,128.805198
강천산(광주),35.365439,127.1047
강천산(대구),35.364257,127.10476
거창(광주),35.70884,128.057895
거창(대구),35.706283,128.05697
건천(부산),35.829979,129.109259
건천(서울),35.83187,129.10928
경산(서울),35.879132,128.810307
경주(부산),35.724104,129.192617
고성(통영),35.051775,128.262771
고성(하남),35.056663,128.25238
고창고인돌(무안),35.468501,126.673791
고창고인돌(서울),35.461891,126.67342
곡성(순천),35.258318,127.150734
곡성(천안),35.259604,127.152748
공주(당진),36.498545,127.164987
공주(영덕),36.496802,127.166647
괴산(마산),36.831338,127.957852
괴산(양평),36.831778,127.960164
구리(일산),37.627969,127.139558
구정(동해),37.722128,128.851186
구정(속초),37.722936,128.854249
군산(무안),35.980573,126.828995
군산(서울),36.018826,126.79772
군위(부산),36.266554,128.574874
군위(춘천),36.265489,128.576929
금강(부산),36.278964,127.672122
금왕(충주),36.969237,127.590783
금왕(평택),36.970563,127.589485
기흥(부산),37.23492,127.104561
김천(부산),36.129147,128.164838
김천(서울),36.130949,128.164007
남성주(양평),35.858022,128.319852
남성주(창원),35.868788,128.316551
내린천,37.916347,128.286365
논공(광주),35.767411,128.403518
논공(대구),35.764803,128.402881
단양(부산),36.995398,128.287629
단양(춘천),36.942827,128.322159
대천(무안),36.372987,126.555707
대천(서울),36.374392,126.558346
덕유산(통영),35.813416,127.643197
덕유산(하남),35.816472,127.646166
덕평,37.241262,127.390212
동명(부산),36.006161,128.546993
동명(춘천),36.006242,128.549412
동해(동해),37.60154,129.073563
마장(복합),37.264681,127.405916
망향(부산),36.855952,127.181222
목감(서울),37.389408,126.86998
문경(마산),36.620381,128.149988
문경(양평),36.620886,128.152439
문막(강릉),37.335286,127.858277
문막(서창),37.297975,127.817317
문산(순천),35.171501,128.151681
백양사(순천),35.394424,126.805367
백양사(천안),35.393,126.807404
벌곡(순천),36.216144,127.277975
벌곡(천안),36.210494,127.270443
보성녹차(광양),34.807303,127.181013
보성녹차(무안),34.81449,127.126734
부여백제(공주),36.258293,126.800079
부여백제(서천),36.258208,126.79673
사천(부산),35.073162,128.010726
사천(순천),35.075021,128.012694
산청(통영),35.337686,127.934846
산청(하남),35.333833,127.937822
서산(무안),36.742927,126.565033
서산(서울),36.734176,126.566211
서여주(마산),37.279088,127.578515
서여주(양평),37.279196,127.580321
서울만남(부산),37.460452,127.042013
서천(무안),36.129509,126.626511
서천(서울),36.131926,126.627875
선산(양평),36.278193,128.247284
선산(창원),36.274206,128.250771
섬진강(부산),34.984685,127.770368
섬진강(순천),34.985967,127.769233
속리산(당진),36.447808,127.868824
순천(순천),35.010288,127.441342
시흥하늘,37.385298,126.856224
신탄진(서울),36.427298,127.418643
안동(부산),36.55425,128.641935
안동(춘천),36.55402,128.642324
안성(부산),37.013404,127.144816
안성(서울),37.076666,127.132517
안성맞춤(충주),36.968047,127.274284
양산(서울),35.322993,129.057177
언양(서울),35.597945,129.141747
여산(순천),36.048568,127.102398
여산(천안),36.048545,127.104753
여주(강릉),37.238021,127.568969
여주(서창),37.239721,127.570125
영산(마산),35.4298,128.49593
영천(대구),36.053195,129.044573
영천(포항),36.051423,129.042577
예산(당진),36.620604,126.844135
예산(영덕),36.625417,126.841418
안성맞춤(평택),36.969918,127.274612
오수(광양),35.540923,127.309251
오수(전주),35.540925,127.309249
오창(통영),36.758496,127.481822
오창(하남),36.756603,127.481945
옥계(속초),37.61618,129.0602
옥산(부산),36.657734,127.36984
옥천(만남),36.25962,127.624633
옥천(부산),36.296848,127.595325
옥천(서울),36.29761,127.598814
와촌(포항),35.951821,128.77549
외동(울산),35.672751,129.285279
외동(포항),35.672673,129.288322
용인(강릉),37.245552,127.242104
용인(서창),37.248302,127.238447
원주(부산),37.435234,127.929027
원주(춘천),37.434643,127.931743
음성(통영),37.019633,127.480828
음성(하남),37.021997,127.484453
의성(당진),36.410998,128.444794
이서(순천),35.803943,127.023764
이서(천안),35.80194,127.025766
이천(통영),37.264583,127.403677
이천(하남),37.294024,127.378327
인삼랜드(통영),36.152855,127.495942
인삼랜드(하남),36.154697,127.497652
입장(서울),36.943055,127.192491
장유(부산),35.212071,128.793603
정읍(순천),35.601454,126.861989
정읍(천안),35.600193,126.86457
주암(순천),35.076208,127.264124
의성(영덕),36.409452,128.447769
주암(천안),35.076619,127.26575
죽암(부산),36.486807,127.429288
죽암(서울),36.496782,127.430616
죽전(서울),37.332523,127.10479
지리산(담양),35.483925,127.567071
지리산(대구),35.481353,127.566827
진안(익산),35.77784,127.425297
진안(장수),35.774821,127.426397
진영(부산),35.277907,128.715453
진영(순천),35.280051,128.716126
진주(부산),35.159762,128.12204
천등산(제천),37.061324,127.939403
천등산(평택),37.076789,127.989014
천안(부산),36.730237,127.263834
천안(서울),36.787825,127.173466
청송(상주),36.456572,129.012218
청송(영덕),36.455702,129.013224
청주(서울),36.716032,127.349345
청통(대구),35.994026,128.859285
추풍령(서울),36.199681,128.003369
춘천(부산),37.81257,127.766109
충주(마산),37.022224,127.837093
충주(양평),37.023177,127.839256
치악(부산),37.253647,128.048538
치악(춘천),37.256686,128.048888
칠곡(부산),36.019809,128.428482
칠곡(서울),36.011672,128.430789
칠서(양평),35.370886,128.496781
통도사(부산),35.488844,129.090794
평사(부산),35.885521,128.867551
추풍령(부산),36.200486,128.000332
평창(강릉),37.605583,128.452704
평창(서창),37.610873,128.463335
하남만남(통영),37.5303,127.206091
함안(부산),35.294067,128.346979
함안(순천),35.294676,128.344701
함양(통영),35.551316,127.758584
함양(하남),35.551614,127.760447
함평나비(광주),35.037273,126.51167
함평나비(무안),35.038174,126.508791
함평천지(무안),35.069646,126.478309
함평천지(서울),35.130739,126.482302
행담도,36.944835,126.807504
현풍(대구),35.701836,128.438128
현풍(현풍),35.701775,128.435368
홍성(무안),36.552594,126.579531
홍성(서울),36.552437,126.581897
